country,country_code,year,gni_per_capita,total_fertility_rate,category
Tunisia,TUN,2024,3880.0,1.818,Developing
Turkiye,TUR,2024,13460.0,1.48,Developing
Turkmenistan,TKM,2024,6510.0,2.661,Transitioning
Turks and Caicos Islands,TCA,2024,36760.0,1.452,Developing
Uganda,UGA,2024,1020.0,4.165,Developing
Ukraine,UKR,2024,5210.0,0.988,Transitioning
United Arab Emirates,ARE,2024,51550.0,1.213,Developing
United Kingdom,GBR,2024,49470.0,1.551,Developed
United States,USA,2024,83490.0,1.6265,Developed
Uruguay,URY,2024,21650.0,1.397,Developing
Uzbekistan,UZB,2024,3020.0,3.486,Transitioning
Vanuatu,VUT,2024,3890.0,3.569,Developing
"Venezuela, RB",VEN,2024,3820.0,2.077,Developing
Viet Nam,VNM,2024,4490.0,1.895,Developing
West Bank and Gaza,PSE,2024,2710.0,3.25,Developing
Zambia,ZMB,2024,1220.0,4.036,Developing
Zimbabwe,ZWE,2024,2400.0,3.674,Developing
